13,1,578.83,161.87,177.29,515.22,0.95,2023-08-31 16:25:24,-1,-1
13,2,917.47,169.91,145.66,432.42,0.94,2023-08-31 16:25:24,-1,-1
13,3,414.72,247.27,174.33,482.15,0.92,2023-08-31 16:25:24,-1,-1
13,4,644.39,120.14,151.35,393.73,0.91,2023-08-31 16:25:24,-1,-1
13,5,292.05,214.54,146.29,446.30,0.84,2023-08-31 16:25:24,-1,-1
14,1,578.27,161.91,177.70,515.47,0.95,2023-08-31 16:25:24,-1,-1
14,2,917.51,170.03,145.47,432.15,0.94,2023-08-31 16:25:24,-1,-1
14,3,414.40,247.24,174.60,482.54,0.92,2023-08-31 16:25:24,-1,-1
14,4,646.61,120.03,155.56,394.19,0.91,2023-08-31 16:25:24,-1,-1
14,5,291.73,214.39,146.86,449.23,0.84,2023-08-31 16:25:24,-1,-1
15,1,577.98,161.93,178.01,515.52,0.95,2023-08-31 16:25:24,-1,-1
15,2,917.55,170.07,145.35,432.04,0.94,2023-08-31 16:25:24,-1,-1
15,3,414.23,247.23,174.78,482.72,0.92,2023-08-31 16:25:24,-1,-1
15,4,646.00,119.78,159.54,394.85,0.91,2023-08-31 16:25:24,-1,-1
15,5,291.78,214.33,146.83,450.29,0.84,2023-08-31 16:25:24,-1,-1
16,1,576.47,162.50,178.02,514.94,0.96,2023-08-31 16:25:24,-1,-1
16,2,917.14,170.09,145.26,432.01,0.93,2023-08-31 16:25:24,-1,-1
16,3,414.06,247.34,174.61,481.80,0.92,2023-08-31 16:25:24,-1,-1
16,4,651.58,120.26,161.30,392.99,0.91,2023-08-31 16:25:24,-1,-1
16,5,292.97,214.43,144.72,444.07,0.84,2023-08-31 16:25:24,-1,-1
17,1,575.85,162.72,178.12,514.69,0.96,2023-08-31 16:25:24,-1,-1
17,2,917.01,170.10,145.18,431.99,0.93,2023-08-31 16:25:24,-1,-1
17,3,413.95,247.38,174.64,481.48,0.92,2023-08-31 16:25:24,-1,-1
17,4,652.89,120.56,163.35,392.43,0.91,2023-08-31 16:25:24,-1,-1
17,5,293.46,214.46,143.85,441.65,0.84,2023-08-31 16:25:24,-1,-1
18,1,575.58,162.80,178.26,514.57,0.96,2023-08-31 16:25:24,-1,-1
18,2,916.98,170.10,145.11,431.99,0.93,2023-08-31 16:25:24,-1,-1
18,3,413.86,247.39,174.74,481.38,0.92,2023-08-31 16:25:24,-1,-1
18,4,652.55,120.68,165.36,392.25,0.91,2023-08-31 16:25:24,-1,-1
18,5,293.73,214.47,143.46,440.74,0.84,2023-08-31 16:25:24,-1,-1
19,1,573.72,163.28,178.71,514.50,0.95,2023-08-31 16:25:24,-1,-1
19,2,916.87,170.10,145.30,431.99,0.93,2023-08-31 16:25:24,-1,-1
19,3,413.50,247.40,174.98,481.37,0.91,2023-08-31 16:25:24,-1,-1
19,4,656.24,121.74,164.38,385.61,0.91,2023-08-31 16:25:24,-1,-1
19,5,293.74,214.37,143.49,441.18,0.84,2023-08-31 16:25:24,-1,-1
20,1,573.03,163.46,179.09,514.45,0.95,2023-08-31 16:25:24,-1,-1
20,2,916.78,170.10,145.47,431.99,0.93,2023-08-31 16:25:24,-1,-1
20,3,413.29,247.40,175.21,481.38,0.91,2023-08-31 16:25:24,-1,-1
20,4,656.35,122.26,165.04,383.24,0.90,2023-08-31 16:25:24,-1,-1
20,5,293.78,214.55,143.44,441.35,0.84,2023-08-31 16:25:24,-1,-1
21,1,572.68,163.53,179.44,514.41,0.95,2023-08-31 16:25:24,-1,-1
21,2,916.70,170.10,145.63,431.99,0.93,2023-08-31 16:25:24,-1,-1
21,3,413.15,247.40,175.43,481.40,0.91,2023-08-31 16:25:24,-1,-1
21,4,655.78,122.45,166.21,382.41,0.90,2023-08-31 16:25:24,-1,-1
21,5,293.82,214.62,143.36,441.42,0.84,2023-08-31 16:25:24,-1,-1
22,1,571.26,163.55,179.73,514.38,0.95,2023-08-31 16:25:24,-1,-1
22,2,916.19,169.65,145.77,431.99,0.93,2023-08-31 16:25:24,-1,-1
22,3,412.52,247.62,175.76,481.65,0.91,2023-08-31 16:25:24,-1,-1
22,4,654.35,120.28,169.22,387.32,0.90,2023-08-31 16:25:24,-1,-1
22,5,293.47,214.65,144.53,445.46,0.84,2023-08-31 16:25:24,-1,-1
23,1,570.66,163.55,180.00,514.36,0.95,2023-08-31 16:25:24,-1,-1
23,2,915.96,169.49,145.90,431.99,0.93,2023-08-31 16:25:24,-1,-1
23,3,412.22,247.70,176.02,481.75,0.92,2023-08-31 16:25:24,-1,-1
23,4,653.63,118.57,170.95,389.63,0.90,2023-08-31 16:25:24,-1,-1
23,5,293.48,214.54,144.67,446.20,0.84,2023-08-31 16:25:24,-1,-1
24,1,570.38,163.55,180.24,514.34,0.95,2023-08-31 16:25:24,-1,-1
24,2,915.84,169.42,146.02,431.99,0.93,2023-08-31 16:25:24,-1,-1
24,3,412.05,247.73,176.23,481.80,0.92,2023-08-31 16:25:24,-1,-1
24,4,653.17,117.94,171.96,390.54,0.90,2023-08-31 16:25:24,-1,-1
24,5,293.51,214.50,144.67,446.46,0.84,2023-08-31 16:25:24,-1,-1
25,1,569.39,164.55,180.58,513.54,0.95,2023-08-31 16:25:24,-1,-1
25,2,915.39,169.18,145.99,431.55,0.93,2023-08-31 16:25:24,-1,-1
25,3,411.87,247.74,176.55,481.83,0.91,2023-08-31 16:25:24,-1,-1
25,4,652.77,117.93,173.48,391.33,0.90,2023-08-31 16:25:24,-1,-1
25,5,293.20,214.60,145.33,449.10,0.84,2023-08-31 16:25:24,-1,-1
26,1,568.87,164.93,181.02,513.23,0.95,2023-08-31 16:25:24,-1,-1
26,2,915.19,169.09,146.05,431.38,0.93,2023-08-31 16:25:24,-1,-1
26,3,411.60,247.41,177.08,482.63,0.91,2023-08-31 16:25:24,-1,-1
26,4,652.20,118.06,174.72,391.75,0.90,2023-08-31 16:25:24,-1,-1
26,5,293.13,214.64,145.46,450.08,0.84,2023-08-31 16:25:24,-1,-1
27,1,568.55,165.06,181.49,513.11,0.95,2023-08-31 16:25:24,-1,-1
27,2,915.09,169.06,146.14,431.32,0.93,2023-08-31 16:25:24,-1,-1
27,3,411.44,247.28,177.41,482.94,0.91,2023-08-31 16:25:24,-1,-1
