0,1,499.79,426.61,None,2023-08-31 16:25:24
0,2,887.16,546.07,None,2023-08-31 16:25:24
0,3,290.52,425.01,None,2023-08-31 16:25:24
0,4,616.44,226.93,None,2023-08-31 16:25:24
0,5,233.44,224.52,None,2023-08-31 16:25:24
1,1,500.07,427.86,None,2023-08-31 16:25:24
1,2,884.94,547.13,None,2023-08-31 16:25:24
1,3,291.02,425.33,None,2023-08-31 16:25:24
1,4,636.96,220.41,None,2023-08-31 16:25:24
1,5,231.98,226.96,None,2023-08-31 16:25:24
2,1,499.87,427.92,None,2023-08-31 16:25:24
2,2,884.56,547.31,None,2023-08-31 16:25:24
2,3,291.12,425.39,None,2023-08-31 16:25:24
2,4,641.08,219.62,None,2023-08-31 16:25:24
2,5,232.14,226.64,None,2023-08-31 16:25:24
3,1,500.05,428.07,None,2023-08-31 16:25:24
3,2,884.49,547.35,None,2023-08-31 16:25:24
3,3,291.14,425.40,None,2023-08-31 16:25:24
3,4,641.74,218.72,None,2023-08-31 16:25:24
3,5,231.88,227.26,None,2023-08-31 16:25:24
4,1,501.37,429.83,None,2023-08-31 16:25:24
4,2,884.13,547.65,None,2023-08-31 16:25:24
4,3,290.91,425.26,None,2023-08-31 16:25:24
4,4,644.07,226.84,None,2023-08-31 16:25:24
4,5,230.40,230.36,None,2023-08-31 16:25:24
5,1,501.81,430.42,None,2023-08-31 16:25:24
5,2,884.02,547.75,None,2023-08-31 16:25:24
5,3,290.84,425.21,None,2023-08-31 16:25:24
5,4,644.40,229.99,None,2023-08-31 16:25:24
5,5,230.40,230.32,None,2023-08-31 16:25:24
6,1,501.96,430.58,None,2023-08-31 16:25:24
6,2,884.01,547.77,None,2023-08-31 16:25:24
6,3,290.82,425.20,None,2023-08-31 16:25:24
6,4,644.38,230.99,None,2023-08-31 16:25:24
6,5,230.44,230.23,None,2023-08-31 16:25:24
7,1,498.21,438.50,Unknown,2023-08-31 16:25:24
7,2,884.02,547.77,Unknown,2023-08-31 16:25:24
7,3,297.04,418.63,Unknown,2023-08-31 16:25:24
7,4,661.22,231.01,Unknown,2023-08-31 16:25:24
7,5,224.42,241.79,Unknown,2023-08-31 16:25:24
8,1,496.74,441.23,None,2023-08-31 16:25:24
8,2,884.03,547.76,None,2023-08-31 16:25:24
8,3,299.32,416.22,None,2023-08-31 16:25:24
8,4,667.65,231.20,None,2023-08-31 16:25:24
8,5,223.45,243.18,None,2023-08-31 16:25:24
9,1,495.18,443.15,None,2023-08-31 16:25:24
9,2,884.03,547.76,None,2023-08-31 16:25:24
9,3,300.30,415.52,None,2023-08-31 16:25:24
9,4,681.39,229.28,None,2023-08-31 16:25:24
9,5,221.79,246.14,None,2023-08-31 16:25:24
10,1,493.17,443.70,None,2023-08-31 16:25:24
10,2,885.14,547.49,None,2023-08-31 16:25:24
10,3,300.72,414.66,None,2023-08-31 16:25:24
10,4,703.07,230.99,None,2023-08-31 16:25:24
10,5,222.26,244.84,None,2023-08-31 16:25:24
11,1,492.43,443.81,None,2023-08-31 16:25:24
11,2,884.91,547.93,None,2023-08-31 16:25:24
11,3,301.15,413.83,None,2023-08-31 16:25:24
11,4,711.47,230.81,None,2023-08-31 16:25:24
11,5,221.67,246.67,None,2023-08-31 16:25:24
12,1,492.19,443.79,None,2023-08-31 16:25:24
12,2,884.40,547.80,None,2023-08-31 16:25:24
12,3,301.26,413.58,None,2023-08-31 16:25:24
12,4,714.24,230.71,None,2023-08-31 16:25:24
12,5,222.07,246.00,None,2023-08-31 16:25:24
13,1,490.80,444.50,None,2023-08-31 16:25:24
13,2,884.83,547.21,None,2023-08-31 16:25:24
13,3,300.24,414.36,None,2023-08-31 16:25:24
13,4,725.70,241.49,None,2023-08-31 16:25:24
13,5,222.27,245.64,None,2023-08-31 16:25:24
14,1,490.21,444.65,None,2023-08-31 16:25:24
14,2,884.98,546.99,None,2023-08-31 16:25:24
14,3,299.83,414.69,None,2023-08-31 16:25:24
14,4,729.97,245.08,None,2023-08-31 16:25:24
14,5,220.42,249.64,None,2023-08-31 16:25:24
15,1,490.02,444.66,Unknown,2023-08-31 16:25:24
15,2,885.06,546.90,Unknown,2023-08-31 16:25:24
15,3,299.65,414.85,Unknown,2023-08-31 16:25:24
15,4,730.92,246.73,Unknown,2023-08-31 16:25:24
15,5,219.80,251.11,Unknown,2023-08-31 16:25:24
16,1,488.65,443.77,None,2023-08-31 16:25:24
16,2,884.62,546.60,None,2023-08-31 16:25:24
16,3,299.98,413.73,None,2023-08-31 16:25:24
16,4,739.90,248.87,None,2023-08-31 16:25:24
16,5,223.94,242.31,None,2023-08-31 16:25:24
17,1,488.15,443.41,None,2023-08-31 16:25:24
17,2,884.47,546.48,None,2023-08-31 16:25:24
17,3,300.09,413.35,None,2023-08-31 16:25:24
17,4,742.82,250.04,None,2023-08-31 16:25:24
17,5,225.57,238.85,None,2023-08-31 16:25:24
18,1,488.00,443.24,None,2023-08-31 16:25:24
18,2,884.41,546.44,None,2023-08-31 16:25:24
18,3,300.11,413.22,None,2023-08-31 16:25:24
18,4,743.64,250.40,None,2023-08-31 16:25:24
18,5,226.24,237.57,None,2023-08-31 16:25:24
19,1,486.12,442.80,None,2023-08-31 16:25:24
19,2,884.39,546.43,None,2023-08-31 16:25:24
19,3,299.90,413.08,None,2023-08-31 16:25:24
19,4,754.95,243.10,None,2023-08-31 16:25:24
19,5,226.04,238.08,None,2023-08-31 16:25:24
20,1,485.54,442.67,None,2023-08-31 16:25:24
20,2,884.39,546.43,None,2023-08-31 16:25:24
20,3,299.81,413.04,None,2023-08-31 16:25:24
20,4,758.05,240.23,None,2023-08-31 16:25:24
20,5,225.82,238.61,None,2023-08-31 16:25:24
21,1,485.36,442.60,None,2023-08-31 16:25:24
21,2,884.39,546.43,None,2023-08-31 16:25:24
21,3,299.77,413.05,None,2023-08-31 16:25:24
21,4,758.97,239.14,None,2023-08-31 16:25:24
21,5,225.73,238.81,None,2023-08-31 16:25:24
22,1,484.19,441.85,None,2023-08-31 16:25:24
22,2,884.58,545.60,None,2023-08-31 16:25:24
22,3,299.04,413.36,None,2023-08-31 16:25:24
22,4,755.18,243.90,None,2023-08-31 16:25:24
22,5,223.26,244.90,None,2023-08-31 16:25:24
